gene_id	dmso_a	dmso_b	thz500_a	thz500_b	thz100_a	thz100_b	actinomycin150_a	actinomycin150_b	actinomycin10_a	actinomycin10_b
ENSG00000013583.8	794	489	581	491	718	836	468	633	771	506
ENSG00000013588.5	0	0	1	1	0	0	0	1	0	0
ENSG00000013619.13	1846	1193	651	578	1712	2028	359	385	1263	782
ENSG00000013725.14	0	0	0	0	1	0	2	0	0	0
ENSG00000013810.18	10653	6509	4149	3545	9739	10835	3957	4874	10222	6632
ENSG00000014123.9	2245	1311	1174	999	1733	1823	902	1024	1889	1287
ENSG00000014138.8	3670	2344	1815	1560	3315	3687	1548	1806	3358	2138
ENSG00000014164.6	1282	802	335	314	1312	1490	188	216	745	429
ENSG00000014216.15	3657	2242	3252	2774	3261	3752	2679	3369	3363	2089
ENSG00000014257.15	11	5	19	17	13	14	12	15	12	17
ENSG00000014641.17	10153	6343	9782	8221	8897	9973	9376	11946	9762	6634
ENSG00000014824.13	4825	3025	3671	2857	3766	4112	2689	2955	3600	2327
ENSG00000014914.19	549	332	377	292	540	590	519	592	669	421
ENSG00000014919.12	1677	1131	1063	830	1440	1761	939	1111	1498	1039
ENSG00000015133.18	180	132	130	124	229	235	41	65	146	89
ENSG00000015153.14	967	540	448	377	748	804	232	292	646	366
ENSG00000015171.18	6498	4054	4601	3907	5503	6152	3408	3812	4641	3154
ENSG00000015285.10	22	15	32	30	19	28	25	37	28	14
ENSG00000015413.9	0	0	2	1	0	0	0	2	0	0
ENSG00000015475.18	1187	808	1021	850	1029	1268	875	1128	1070	718
ENSG00000015479.17	407	227	92	80	289	362	127	104	345	187
ENSG00000015520.14	5	4	3	3	8	5	7	5	3	4
ENSG00000015532.9	2303	1419	970	810	2134	2448	835	1059	2392	1513
ENSG00000015568.12	0	0	0	0	0	0	0	0	0	0
ENSG00000015592.16	7	3	2	4	3	1	1	2	3	1
ENSG00000015676.17	8885	5344	6065	5027	7841	8800	4608	5515	6466	4222
ENSG00000016082.14	2	0	0	1	0	2	0	0	0	0
